epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,36539.7,0.607,1.07858,1.19116,0.93705,0.67394,0.8328,0.81166,0.25226,0.83385,0.66897,0.0005941,0.0005941,0.0005941
43,37406.5,0.60158,1.02934,1.20437,0.98371,0.7509,0.90563,0.88816,0.24694,0.61053,0.67336,0.0005842,0.0005842,0.0005842
44,38273.2,0.60916,1.05791,1.19617,0.96131,0.74569,0.89787,0.87377,0.28349,0.69591,0.71795,0.0005743,0.0005743,0.0005743
45,39138,0.58696,0.98821,1.16548,0.93769,0.76569,0.87744,0.85761,0.26601,0.64773,0.66885,0.0005644,0.0005644,0.0005644
46,40006.5,0.60549,1.04289,1.18512,0.95869,0.74896,0.88517,0.86558,0.29045,0.70412,0.68004,0.0005545,0.0005545,0.0005545
47,40872.3,0.59138,1.03899,1.16903,0.98212,0.73809,0.88677,0.86107,0.30072,0.68189,0.69651,0.0005446,0.0005446,0.0005446
48,41738.7,0.57037,1.00403,1.16009,0.9514,0.7699,0.88736,0.85303,0.29033,0.64786,0.6956,0.0005347,0.0005347,0.0005347
49,42607.5,0.59197,1.0413,1.18466,0.98415,0.74603,0.88354,0.86437,0.26909,0.62551,0.67442,0.0005248,0.0005248,0.0005248
50,43476.4,0.60155,1.04426,1.18945,0.97598,0.72584,0.87176,0.83562,0.31531,0.69358,0.7183,0.0005149,0.0005149,0.0005149
51,44345.2,0.58642,0.98128,1.17817,0.94481,0.73859,0.89476,0.87597,0.2477,0.61122,0.65323,0.000505,0.000505,0.000505
52,45213.7,0.56472,0.99678,1.17435,0.93776,0.76943,0.90197,0.87933,0.26101,0.63231,0.66265,0.0004951,0.0004951,0.0004951
53,46078.3,0.56295,0.98444,1.14785,0.94673,0.72648,0.8919,0.87014,0.25264,0.68778,0.67246,0.0004852,0.0004852,0.0004852
54,46946.4,0.56944,0.98206,1.169,0.96443,0.72828,0.88853,0.88231,0.19869,0.63719,0.61144,0.0004753,0.0004753,0.0004753
55,47815.6,0.56683,0.99959,1.14937,0.98172,0.73313,0.89046,0.86462,0.29066,0.64741,0.68281,0.0004654,0.0004654,0.0004654
56,48689.2,0.53013,0.91877,1.13247,0.98922,0.73798,0.90196,0.88381,0.27956,0.63177,0.65766,0.0004555,0.0004555,0.0004555
